Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
05/06/2023,AQS,370210030,1,0.051,ppm,47,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/07/2023,AQS,370210030,1,0.041,ppm,38,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/08/2023,AQS,370210030,1,0.047,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/09/2023,AQS,370210030,1,0.055,ppm,51,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/10/2023,AQS,370210030,1,0.054,ppm,50,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/11/2023,AQS,370210030,1,0.053,ppm,49,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/12/2023,AQS,370210030,1,0.037,ppm,34,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/13/2023,AQS,370210030,1,0.041,ppm,38,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/14/2023,AQS,370210030,1,0.038,ppm,35,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/15/2023,AQS,370210030,1,0.037,ppm,34,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/16/2023,AQS,370210030,1,0.042,ppm,39,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/17/2023,AQS,370210030,1,0.047,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/18/2023,AQS,370210030,1,0.047,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/19/2023,AQS,370210030,1,0.048,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/20/2023,AQS,370210030,1,0.035,ppm,32,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/21/2023,AQS,370210030,1,0.055,ppm,51,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/22/2023,AQS,370210030,1,0.047,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/23/2023,AQS,370210030,1,0.052,ppm,48,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/24/2023,AQS,370210030,1,0.053,ppm,49,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/25/2023,AQS,370210030,1,0.058,ppm,61,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/26/2023,AQS,370210030,1,0.055,ppm,51,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/27/2023,AQS,370210030,1,0.05,ppm,46,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/28/2023,AQS,370210030,1,0.026,ppm,24,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/29/2023,AQS,370210030,1,0.037,ppm,34,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/30/2023,AQS,370210030,1,0.035,ppm,32,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
05/31/2023,AQS,370210030,1,0.037,ppm,34,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/01/2023,AQS,370210030,1,0.043,ppm,40,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/02/2023,AQS,370210030,1,0.048,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/03/2023,AQS,370210030,1,0.061,ppm,71,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/04/2023,AQS,370210030,1,0.048,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/05/2023,AQS,370210030,1,0.05,ppm,46,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/06/2023,AQS,370210030,1,0.06,ppm,67,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/07/2023,AQS,370210030,1,0.054,ppm,50,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/08/2023,AQS,370210030,1,0.056,ppm,54,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/09/2023,AQS,370210030,1,0.049,ppm,45,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/10/2023,AQS,370210030,1,0.059,ppm,64,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/11/2023,AQS,370210030,1,0.043,ppm,40,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/12/2023,AQS,370210030,1,0.051,ppm,47,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/13/2023,AQS,370210030,1,0.054,ppm,50,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/14/2023,AQS,370210030,1,0.05,ppm,46,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/15/2023,AQS,370210030,1,0.053,ppm,49,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/16/2023,AQS,370210030,1,0.067,ppm,90,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/17/2023,AQS,370210030,1,0.06,ppm,67,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/18/2023,AQS,370210030,1,0.055,ppm,51,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/19/2023,AQS,370210030,1,0.038,ppm,35,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/20/2023,AQS,370210030,1,0.034,ppm,31,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/21/2023,AQS,370210030,1,0.032,ppm,30,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/22/2023,AQS,370210030,1,0.02,ppm,19,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/23/2023,AQS,370210030,1,0.028,ppm,26,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/24/2023,AQS,370210030,1,0.035,ppm,32,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/25/2023,AQS,370210030,1,0.043,ppm,40,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/26/2023,AQS,370210030,1,0.045,ppm,42,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/27/2023,AQS,370210030,1,0.049,ppm,45,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/28/2023,AQS,370210030,1,0.057,ppm,58,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/29/2023,AQS,370210030,1,0.055,ppm,51,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
06/30/2023,AQS,370210030,1,0.035,ppm,32,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/01/2023,AQS,370210030,1,0.031,ppm,29,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
